שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
שפת אמת על ערכין.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר קדשים/שפת אמת על ערכין.txt,Dicta,194
שפת אמת על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר מועד/שפת אמת על שבת.txt,Dicta,1848
שפת אמת על פסחים.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר מועד/שפת אמת על פסחים.txt,Dicta,917
שפת אמת על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת על השס/סדר מועד/שפת אמת על עירובין.txt,Dicta,566
לפלגות ראובן חלק ב.txt,אוצריא/תלמוד בבלי/אחרונים/לפלגות ראובן/לפלגות ראובן חלק ב.txt,Dicta,648
לפלגות ראובן חלק ג.txt,אוצריא/תלמוד בבלי/אחרונים/לפלגות ראובן/לפלגות ראובן חלק ג.txt,Dicta,1077
לפלגות ראובן חלק א.txt,אוצריא/תלמוד בבלי/אחרונים/לפלגות ראובן/לפלגות ראובן חלק א.txt,Dicta,1128
אמת ליעקב על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על זבחים.txt,Dicta,4
אמת ליעקב על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על חולין.txt,Dicta,6
אמת ליעקב על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על שבת.txt,Dicta,65
אמת ליעקב על בכורות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על בכורות.txt,Dicta,10
אמת ליעקב על מגילה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על מגילה.txt,Dicta,6
אמת ליעקב על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על שבועות.txt,Dicta,4
אמת ליעקב על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על סנהדרין.txt,Dicta,16
אמת ליעקב על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על יבמות.txt,Dicta,4
אמת ליעקב על עבודה זרה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על עבודה זרה.txt,Dicta,15
אמת ליעקב על סוטה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על סוטה.txt,Dicta,9
אמת ליעקב על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על קידושין.txt,Dicta,6
אמת ליעקב על יומא.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על יומא.txt,Dicta,25
אמת ליעקב על מכות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על מכות.txt,Dicta,4
אמת ליעקב על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על כתובות.txt,Dicta,9
אמת ליעקב על ראש השנה.txt,אוצריא/תלמוד בבלי/אחרונים/אמת ליעקב/אמת ליעקב על ראש השנה.txt,Dicta,24
