displayName,categoryEnglish,printYear,ocrFeDir,printLocationEnglish,textFileURL,category,source,author,printLocation,underwentBerelUnflagging,nikudMetegFileURL,OCRDataURL,authorEnglish,fileName,displayNameEnglish
אור המאיר שמות,Sifrei Chasidut,1883,orhameirshemot_EGT,Warsaw,https://files.dicta.org.il/orhameirshemot/orhameirshemot__text_files.zip,ספרי חסידות,ספריית דיקטה,ר' זאב וולף הלוי,ווארשא,,https://files.dicta.org.il/orhameirshemot/orhameirshemot__nikud_meteg_files.zip,https://files.dicta.org.il/orhameirshemot/orhameirshemot__ocr_data_html_files.zip,"Halevi, Zev Wolf",orhameirshemot,Or ha-Meir Shemot
אורח לחיים,Bible Commentaries,1817,orachlechayim,Berditchov,https://files.dicta.org.il/orachlechayim/orachlechayim__text_files.zip,"מפרשי התנ""ך",ספריית דיקטה,אברהם חיים בן גדליה מזלוטשוב,ברדיטשוב,,https://files.dicta.org.il/orachlechayim/orachlechayim__nikud_meteg_files.zip,https://files.dicta.org.il/orachlechayim/orachlechayim__ocr_data_html_files.zip,Avraham Chaim miZlatchev,orachlechayim,Orach leChaim
אחיעזר חלק אבן העזר,Responsa,1922,achiezer_EGT,Vilna,https://files.dicta.org.il/achiezer/achiezer__text_files.zip,"שו""ת",ספריית דיקטה,רבי חיים עוזר גרודזינסקי,וילנא,,https://files.dicta.org.il/achiezer/achiezer__nikud_meteg_files.zip,https://files.dicta.org.il/achiezer/achiezer__ocr_data_html_files.zip,Chaim Ozer Grodzinski,achiezer,Achiezer Even Haezer
אחיעזר חלק חלק ג,Responsa,1922,achiezer3_EGT,Vilna,https://files.dicta.org.il/achiezer3/achiezer3__text_files.zip,"שו""ת",ספריית דיקטה,רבי חיים עוזר גרודזינסקי,וילנא,,https://files.dicta.org.il/achiezer3/achiezer3__nikud_meteg_files.zip,https://files.dicta.org.il/achiezer3/achiezer3__ocr_data_html_files.zip,Chaim Ozer Grodzinski,achiezer3,Achiezer part 3
איגרא רמה חלק א,Acharonim on Talmud_Bavli,1873,igrahramah1,Lamberg,https://files.dicta.org.il/igrahramah1/igrahramah1__text_files.zip,"מפרשי הש""ס",ספריית דיקטה,רבי משה משולם בן שמשון איגרא,למברג,,https://files.dicta.org.il/igrahramah1/igrahramah1__nikud_meteg_files.zip,https://files.dicta.org.il/igrahramah1/igrahramah1__ocr_data_html_files.zip,Rabbi Moshe Meshulam ben Shimshon Igra,igrahramah1,Igrah Ramah part 1
איגרא רמה חלק ב,Acharonim on Talmud_Bavli,1873,igrahramah2,Lamberg,https://files.dicta.org.il/igrahramah2/igrahramah2__text_files.zip,"מפרשי הש""ס",ספריית דיקטה,רבי משה משולם בן שמשון איגרא,למברג,,https://files.dicta.org.il/igrahramah2/igrahramah2__nikud_meteg_files.zip,https://files.dicta.org.il/igrahramah2/igrahramah2__ocr_data_html_files.zip,Rabbi Moshe Meshulam ben Shimshon Igra,igrahramah2,Igrah Ramah part 2
איתן האזרחי,Responsa,1796,eitanhaezrachi_EGT,Austria,https://files.dicta.org.il/eitanhaezrachi/eitanhaezrachi__text_files.zip,"שו""ת",ספריית דיקטה,רבי אברהם רפפורט,אוסטריה,,https://files.dicta.org.il/eitanhaezrachi/eitanhaezrachi__nikud_meteg_files.zip,https://files.dicta.org.il/eitanhaezrachi/eitanhaezrachi__ocr_data_html_files.zip,Avraham ben Yisroel Yechiel haCohen Rappoport,eitanhaezrachi,Eitan Haezrachi
אלה המצות,Halachah and Minhagim,1887,elehamitzvot,Warsaw,https://files.dicta.org.il/elehamitzvot/elehamitzvot__text_files.zip,ספרי הלכה ומנהג,ספריית דיקטה,רבי משה בן יעקב ישראל חגיז,ורשה,,https://files.dicta.org.il/elehamitzvot/elehamitzvot__nikud_meteg_files.zip,https://files.dicta.org.il/elehamitzvot/elehamitzvot__ocr_data_html_files.zip,Moses Hagiz,elehamitzvot,Ele Ha-mitzvot
אלפא ביתא,Sifrei Chasidut,1885,alfabeita_EGT,Warsaw,https://files.dicta.org.il/alfabeita/alfabeita__text_files.zip,ספרי חסידות,ספריית דיקטה,ר' צבי הירש מנדבורנא,וורשה,,https://files.dicta.org.il/alfabeita/alfabeita__nikud_meteg_files.zip,https://files.dicta.org.il/alfabeita/alfabeita__ocr_data_html_files.zip,R. Zvi Hirsch of Ndvorna,alfabeita,Alfa Beita
אמונת שמואל,Responsa,1884,emunatshmuel_EGT,Lamberg,https://files.dicta.org.il/emunatshmuel/emunatshmuel__text_files.zip,"שו""ת",ספריית דיקטה,רבי אהרון שמואל קוידנובר,לעמבערג,,https://files.dicta.org.il/emunatshmuel/emunatshmuel__nikud_meteg_files.zip,https://files.dicta.org.il/emunatshmuel/emunatshmuel__ocr_data_html_files.zip,Aaron Samuel ben Israel Kaidanover,emunatshmuel,Emunat Shmuelr
אמר שומר,,1865,omarshomer,livorno,https://files.dicta.org.il/omarshomer/omarshomer__text_files.zip,,ספריית דיקטה,רבי אברהם חיים בן מסעוד חי אדאדי,ליוורנו,,https://files.dicta.org.il/omarshomer/omarshomer__nikud_meteg_files.zip,https://files.dicta.org.il/omarshomer/omarshomer__ocr_data_html_files.zip,Abraham Hayyim ben Masoud Hai Adadi,omarshomer,Amar Shomer
אמרי אש,Responsa,1864,imreeshresponsa,,https://files.dicta.org.il/imreeshresponsa/imreeshresponsa__text_files.zip,"שו""ת",,רבי מאיר אייזנשטטר (אייזנשטט),אונגואר,,https://files.dicta.org.il/imreeshresponsa/imreeshresponsa__nikud_meteg_files.zip,https://files.dicta.org.il/imreeshresponsa/imreeshresponsa__ocr_data_html_files.zip,Meir Eisenstadt,imreeshresponsa,Imrei Aish Responsa
אמרי בינה,Responsa,1871,imreibina_EGT,Jerusalem,https://files.dicta.org.il/imreibina/imreibina__text_files.zip,"שו""ת",,רבי מאיר אוירבך,ירושלים,,https://files.dicta.org.il/imreibina/imreibina__nikud_meteg_files.zip,https://files.dicta.org.il/imreibina/imreibina__ocr_data_html_files.zip,Meir Auerbach,imreibina,Imrei Bina
