שם ספר,דור,קטגוריה,נתיב הספר,,,,,,,,,,,,,,,,,,,
אבן העוזר על שבת,אחרונים,תלמוד בבלי,תלמוד בבלי\אחרונים\אבן העוזר\אבן העוזר על שבת.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא מהדורא תניינא על אסתר,ראשונים,תנך,תנך\ראשונים\אבן עזרא מהדורא תניינא\כתובים\אבן עזרא מהדורא תניינא על אסתר.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על איוב,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על איוב.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על איכה,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על איכה.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על אסתר,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על אסתר.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על במדבר,ראשונים,תנך,תנך\ראשונים\אבן עזרא\תורה\אבן עזרא על במדבר.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על בראשית,ראשונים,תנך,תנך\ראשונים\אבן עזרא\תורה\אבן עזרא על בראשית.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על דברים,ראשונים,תנך,תנך\ראשונים\אבן עזרא\תורה\אבן עזרא על דברים.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על דניאל,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על דניאל.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על הושע,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על הושע.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על ויקרא,ראשונים,תנך,תנך\ראשונים\אבן עזרא\תורה\אבן עזרא על ויקרא.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על זכריה,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על זכריה.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על חבקוק,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על חבקוק.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על חגי,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על חגי.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על יואל,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על יואל.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על יונה,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על יונה.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על ישעיהו,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על ישעיהו.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על מיכה,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על מיכה.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על מלאכי,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על מלאכי.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על משלי,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על משלי.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על נחום,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על נחום.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על נחמיה,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על נחמיה.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על עובדיה,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על עובדיה.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על עזרא,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על עזרא.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על עמוס,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על עמוס.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על צפניה,ראשונים,תנך,תנך\ראשונים\אבן עזרא\נביאים\אבן עזרא על צפניה.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על קהלת,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על קהלת.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על רות,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על רות.txt,,,,,,,,,,,,,,,,,,,
אבן עזרא על שיר השירים,ראשונים,תנך,תנך\ראשונים\אבן עזרא\כתובים\אבן עזרא על שיר השירים.txt,,,,,,,,,,,,,,,,,,,
